Main Circle ,Division,SubDivision,Section,Area,CatCode,CatDesc,TotServices,BilledServices,Units,Load,Month
"JANGAON, Hyderabad, Telangana, India",JANGAON,JANGAON,BACHANNAPET,BACHANNAPET (HQ),9,ELECTRIC VEHICLE CHARGING STATIONS,1,0,0,1.5,Dec-24
"BHADRADRI KOTHAGUDEM, Hyderabad, Telangana, India",PALONCHA,PALVANCHA,PALVONCHA TOWN-2,PALONCHA,9,ELECTRIC VEHICLE CHARGING STATIONS,1,1,582,30,Dec-24
"KHAMMAM, Hyderabad, Telangana, India",SATHUPALLY,SATHUPALLY,SATHUPALLY,KISTARAM,9,ELECTRIC VEHICLE CHARGING STATIONS,1,1,264,30,Dec-24
"KAMAREDDY, Hyderabad, Telangana, India",KAMAREDDY,DOMAKONDA,BHIKNOOR(NORTH),BASWAPOOR,9,ELECTRIC VEHICLE CHARGING STATIONS,1,0,0,54,Dec-24
"KAMAREDDY, Hyderabad, Telangana, India",KAMAREDDY,Kamareddy Town,KAMAREDDY(R),PATHARAJAMPET,9,ELECTRIC VEHICLE CHARGING STATIONS,1,1,529,45,Dec-24
"KAMAREDDY, Hyderabad, Telangana, India",KAMAREDDY,Kamareddy Town,KAMAREDDY(R),TEKRIYAL,9,ELECTRIC VEHICLE CHARGING STATIONS,1,1,0,25,Dec-24
"KARIMNAGAR, Hyderabad, Telangana, India",HUZURABAD,HUZURABAD,HUZURABAD TOWN,RTC DEPO ,9,ELECTRIC VEHICLE CHARGING STATIONS,1,1,575,20,Dec-24
"KARIMNAGAR, Hyderabad, Telangana, India",KARIMNAGAR RURAL,NUSTHULAPUR,NUTSULAPOOR,NUSTULAPOOR,9,ELECTRIC VEHICLE CHARGING STATIONS,1,0,0,15,Dec-24
"MAHABUBABAD, Hyderabad, Telangana, India",MAHABUBABAD,MAHABUBABAD(T),MAHABUBABAD (TOWN),NON SLB,9,ELECTRIC VEHICLE CHARGING STATIONS,1,1,174,30,Dec-24
"KARIMNAGAR, Hyderabad, Telangana, India",KARIMNAGAR RURAL,Gangadhara,ACHAMPALLY,WADDIARAM,9,ELECTRIC VEHICLE CHARGING STATIONS,1,1,45,25,Dec-24
"KHAMMAM, Hyderabad, Telangana, India",KHAMMAM,KHAMMAM(T),KHAMMAM TOWN-2,ZONE (7)  KHAMMAM,9,ELECTRIC VEHICLE CHARGING STATIONS,1,1,2203,30,Dec-24
"KAMAREDDY, Hyderabad, Telangana, India",BANSWADA,BANSWADA,BANSWADA,BANSWADA,9,ELECTRIC VEHICLE CHARGING STATIONS,1,1,424,30,Dec-24
"KAMAREDDY, Hyderabad, Telangana, India",BANSWADA,BANSWADA,BIRKUR,BIRKUR,9,ELECTRIC VEHICLE CHARGING STATIONS,1,1,210,30,Dec-24
